company_name,country,city,website,email,phone,coverage,customer_type,service_installation,service_training,service_as,energy_devices_experience,brands,notes,source_url,last_verified
"JMEC Co., Ltd.",Japan,Tokyo,https://www.jmec.co.jp,unknown,+81-3-5688-1803,national,clinic/derm,yes,yes,yes,yes,"Laser therapy devices (Q-switched, etc.), home beauty devices","Founded 1995; import/distribution/maintenance of medical & scientific equipment; aesthetic dermatology focus; nationwide partner network",https://www.jmec.co.jp/english-site/,2026-02-17
"Century Medical, Inc.",Japan,Tokyo,unknown,unknown,unknown,national,hospital/clinic,yes,unknown,yes,unknown,"40+ foreign medical device manufacturers (Abbott, Hologic, Integra, Medtronic, etc.)","Subsidiary of ITOCHU Corp; founded 1974; branch offices in Fukuoka/Hiroshima/Nagoya/Omiya/Osaka/Sapporo/Sendai; 389 employees; general medical device distributor - aesthetic device handling requires confirmation",https://www.researchandmarkets.com/reports/4517502/,2026-02-17
"Sciton Japan (Direct Office)",Japan,"Tokyo (Shinjuku)",https://sciton.jp,unknown,unknown,national,clinic/derm/aesthetic,yes,yes,yes,yes,"Sciton JOULE/mJOULE/HALO/BBL/moxi","Direct office of Sciton Inc.; 6F Homest Shinjuku Bldg; provides direct sales and service for Japan market",https://sciton.com/sciton-international/,2026-02-17
Wontech Japan,Japan,Osaka,https://wtlaser.com,unknown,unknown,multi-city,clinic/derm,yes,yes,yes,yes,"Oligio RF, PicoCare, Holinwon Prima, V-Laser, SANDRO Dual, Tightan Pro HIFU","Korean manufacturer's direct Japan subsidiary; strategic investment in Sheep Medical (Japan); opened Osaka office",https://wtlaser-en.com/about,2026-02-17
Leader Healthcare Group,UAE,Dubai,https://leaderhealthcaregroup.com,logistics@leaderhealthcaregroup.com,unknown,national,hospital/clinic/derm/aesthetic,yes,yes,yes,yes,"Sciton (exclusive ME), Cutera, Candela, SonoQueen HIFU, Hydrafacial, Clarteis, NeoGen, Zimmer Aesthetics","Since 2009; offices in Dubai/Abu Dhabi/KSA/Kuwait/Qatar/India/Australia; exclusive Sciton distributor for UAE/KSA/Kuwait/Qatar/Bahrain/Oman; training+equipment+service",https://leaderhealthcaregroup.com/ksa/product-category/dermatology-and-aesthetics/,2026-02-17
Laser SOS Group,Saudi Arabia,unknown,https://www.lasersos.com,unknown,unknown,national,hospital/clinic/aesthetic,yes,yes,yes,yes,"Cynosure (exclusive ME: Elite iQ, PicoSure Pro, Potenza RF)","30+ years in aesthetic laser equipment; exclusive Cynosure distributor for Middle East; spare parts + service + training",https://www.lasersos.com/cynosure-laser-saudi-arabia/,2026-02-17
DUBIMED,UAE,Dubai,https://dubaimed.com,unknown,unknown,multi-city,clinic/derm/aesthetic,yes,yes,yes,yes,"Sofwave, Galderma Restylane/Sculptra, advanced RF devices, laser platform (8 tech, 70+ indications)","40+ years experience; certified biomedical engineers for installation/repairs; hands-on training; coverage: UAE/KSA/Oman/Qatar; marketing support",https://dubaimed.com,2026-02-17
Laser Gulf,UAE,Dubai,https://laser-gulf.com,unknown,unknown,multi-city,clinic/aesthetic,yes,yes,yes,yes,"Candela, Cynosure spare parts; new/refurbished aesthetic laser machines","GCC licensed; UAE/Saudi Arabia/Egypt/Turkey; 150+ satisfied medical centers; spare parts/maintenance/training; YouTube training channel",https://laser-gulf.com,2026-02-17
Al Shirawi Healthcare Solutions,UAE,Dubai,https://alshirawi.health,unknown,unknown,national,clinic/derm/aesthetic,yes,unknown,yes,yes,"GME laser systems, Zimmer Z FieldDual, Bloomea, Lipocube, Triworks, Plexr Plus, BELA MD","Part of Al Shirawi Group; dedicated Aesthetic Dermatology branch; energy-based devices for resurfacing/vascular/body contouring/RF",https://alshirawi.health/aesthetic-dermatology/,2026-02-17
"Alma UAE (Direct Office)",UAE,Dubai,https://almalasers.com,almalasers@almalasers.ae,+971 04 2766937,national,clinic/derm/aesthetic,yes,yes,yes,yes,"Alma Soprano Titanium, Harmony XL PRO, full Alma product line","Direct regional office; Iris Bay 1604 Business Bay Dubai; 100+ global distributors; 8 Alma Academies worldwide",https://almalasers.co.kr/get-in-touch/,2026-02-17
Elogio Asia Pte Ltd,Singapore,Singapore,https://www.elogioasia.com,unknown,unknown,multi-city,clinic/derm/aesthetic,yes,yes,yes,yes,"Pico lasers, Q-Switched, Erbium, Fractional CO2, Long Pulse, Thulium, 3Deep RF, HIFU, Cryolipolysis, EMS","Leading SEA distributor; HQ Singapore; offices in MY/ID/PH/TH/VN/AU; KOL collaborations; premium imported brands from US/UK/DE/KR",https://www.elogioasia.com/about-us/,2026-02-17
Neoasia Group,Singapore,Singapore,https://neoasiagroup.com,unknown,unknown,multi-city,clinic/derm/aesthetic,yes,yes,yes,yes,"InMode RF (official SG+MY), Quanta System Discovery PICO, DEKA SmartXide/ONDA/MonaLisa Touch, Cooltech Define, Liftera HIFU, Vbeam, Nordlys, Motus AX","Since 1995; Asia's leading medical aesthetic tech partner; qualified service engineers for InMode full range; SG/MY expanding APAC",https://neoasiagroup.com,2026-02-17
"Astraco Medical Networks (AMN)",Thailand,Bangkok,https://astracom.co.th,unknown,+66-2-679-7741,national,hospital/clinic/derm,yes,yes,yes,yes,"Cutera (official TH), Norseld Dual Yellow Laser, aesthetic laser devices","Member of Koortrade Group; installation/training/workshops/post-sales; Norseld Distributor of Year 2020/2021; subsidiary AME for consumables",https://astracom.co.th,2026-02-17
"Aesla Co., Ltd.",Thailand,Bangkok,https://aesla.com,contact@aesla.com,02-538-6996,multi-city,clinic/derm/aesthetic,yes,yes,yes,yes,"Cynosure (exclusive TH: PicoSure Pro, Potenza RF), Asclepion lasers, Venus Concept","Exclusive Cynosure Thailand distributor; offices Bangkok+Phuket; hosts annual AESLA AWARDS; comprehensive medical aesthetic device importer",https://aesla.com/en/cynosure/,2026-02-17
"Laser Engineer Co., Ltd.",Thailand,Bangkok,unknown,unknown,unknown,national,clinic/derm,yes,yes,yes,yes,"Lutronic PicoPlus (official TH), Fotona StarWalker PQX (exclusive TH)","Official importer/distributor of Lutronic and Fotona in Thailand; emphasis on product quality and safety; USFDA certified products",https://fotonathailand.com,2026-02-17
"Wontech Asia Co., Ltd.",Thailand,Bangkok,https://www.wontech-asia.com,unknown,unknown,national,clinic/derm/aesthetic,yes,yes,yes,yes,"Oligio RF, Oligio KISS, PicoCare, PICOALEX, Holinwon Prima, Tightan Pro HIFU, Lavieen, SANDRO Dual","Direct Thai subsidiary of Wontech Korea; all key products Thai FDA approved; established branch office",https://wtlaser-en.com/about,2026-02-17
"Monarch Medi Solutions Sdn Bhd",Malaysia,"Kuala Lumpur area",https://monarchmedisolutions.site,unknown,unknown,multi-city,hospital/clinic/derm,yes,yes,yes,yes,"Asclepion Dermablate Er:YAG, MEDEX CO2, Eunsung DUET RF & FOCUS DUAL (RF+HIFU), RÖS'S Aesthetic TECAR","Since 2003; GDPMD certified; ISO 9001:2015 & ISO 13485:2016; 7 SEA markets; 5-step partnership model; 15+ staff; led by Dr Eddie Goh PhD",https://monarchmedisolutions.site,2026-02-17
"Venusys Medical Sdn Bhd",Malaysia,"Shah Alam",https://venusys.com.my,unknown,unknown,national,hospital/clinic/derm/aesthetic,yes,yes,yes,yes,"Sciton (official MY), laser/light-based multi-technology systems","Since 2005; pioneer laser/light equipment Malaysia; MOH registered; installation/training/workshops/technical support/service contracts; acquired by Device Technologies Group Dec 2024",https://venusys.com.my/about-us/,2026-02-17
PT Stenia Medika,Indonesia,Jakarta,unknown,vania@steniamedika.com,unknown,national,clinic/derm/aesthetic,unknown,unknown,unknown,yes,"Sciton (official ID)","Sciton authorized Indonesian distributor; Maspion Plaza 2nd Floor Jakarta; tips/consumables/clinical training/technical service",https://sciton.com/sciton-inc/global-customer-support-directory/,2026-02-17
"idsMED Group (IDS Medical Systems)",Singapore,Singapore,https://www.idsmed.com,unknown,unknown,multi-city,hospital/clinic,yes,yes,yes,yes,"Aesthetic lasers & devices (acquired SKIN M.D. aesthetic distribution business)","Leading medical supply chain SEA; 6 markets (SG/MY/ID/PH/TH/VN); 200+ global brands; 200+ biomedical engineers; $198M revenue 2025",https://www.idsmed.com,2026-02-17
"Filtech Enterprise (1994 PCL)",Thailand,Nonthaburi,unknown,unknown,unknown,national,clinic/aesthetic,unknown,unknown,unknown,yes,"Sciton (official TH)","Sciton authorized Thai distributor; No. 429 Bondstreet Road Bangpood Pakret Nonthaburi 11120",https://sciton.com/sciton-international/,2026-02-17
"BTL Singapore (Direct)",Singapore,Singapore,https://btlaesthetics.sg,unknown,unknown,national,clinic/aesthetic,yes,yes,yes,yes,"BTL EMSculpt, EMFace, EMSELLA, EMTone RF, EXILIS ULTRA (RF+ultrasound)","Direct manufacturer office; sole manufacturer+distributor BTL in SG; 30+ years innovation; non-invasive body shaping/RF devices",https://btlaesthetics.sg,2026-02-17
Alpha Health Asia,Singapore,Singapore,https://www.alpha-healthasia.com,unknown,unknown,multi-city,hospital/clinic/aesthetic,unknown,unknown,unknown,unknown,"Motiva Implants, Rejeunesse HA Fillers","Since 2001; leading distributor plastics/aesthetic/reconstructive surgery 10+ SEA countries; mainly implants/fillers; energy device experience requires confirmation",https://www.alpha-healthasia.com,2026-02-17
Lasermed (Thailand),Thailand,Bangkok,unknown,unknown,unknown,national,clinic/derm,unknown,unknown,unknown,yes,"Fotona Discovery Pico (official TH)","Official Thai importer/distributor of Fotona Discovery Pico; aesthetic medical devices",https://dloveveryclinic.com/en/pico-check/,2026-02-17
"Al Mazroui Medical & Chemical Supplies",UAE,unknown,unknown,unknown,unknown,national,hospital/clinic,yes,unknown,yes,unknown,"General medical devices (100+ service engineers)","Largest after-sales engineering team in UAE (100+ engineers); general medical device distributor; aesthetic device handling requires confirmation",https://www.researchandmarkets.com/reports/4517502/,2026-02-17
Microlab,Philippines,"Manila (Pasay City)",unknown,unknown,unknown,national,clinic/aesthetic,unknown,unknown,unknown,yes,"Sciton (official PH)","Sciton authorized Philippine distributor; 2636 Tramo Line corner Alvarez St Pasay City Manila",https://sciton.com/sciton-international/,2026-02-17
"Neoderm (Hong Kong)",Hong Kong,Hong Kong,https://neoderm.com.hk,tanya.lee@neoderm.com.hk,unknown,national,clinic/aesthetic,yes,yes,yes,yes,"Sciton (official HK)","Sciton authorized HK distributor; clinical training/technical service/tips+consumables; 67/F One Island East Quarry Bay",https://sciton.com/sciton-inc/global-customer-support-directory/,2026-02-17
