company_name,website,email,country,city,customer_type,coverage,installation,training,after_sales,energy_devices_experience
"JMEC Co., Ltd.",https://www.jmec.co.jp,unknown,Japan,Tokyo,clinic/derm,national,yes,yes,yes,yes
"Century Medical, Inc.",unknown,unknown,Japan,Tokyo,hospital/clinic,national,yes,unknown,yes,unknown
Sciton Japan (Direct Office),https://sciton.jp,unknown,Japan,Tokyo (Shinjuku),clinic/derm/aesthetic,national,yes,yes,yes,yes
Wontech Japan,https://wtlaser.com,unknown,Japan,Osaka,clinic/derm,multi-city,yes,yes,yes,yes
Leader Healthcare Group,https://leaderhealthcaregroup.com,logistics@leaderhealthcaregroup.com,UAE,Dubai,hospital/clinic/derm/aesthetic,national,yes,yes,yes,yes
Laser SOS Group,https://www.lasersos.com,unknown,Saudi Arabia,unknown,hospital/clinic/aesthetic,national,yes,yes,yes,yes
DUBIMED,https://dubaimed.com,unknown,UAE,Dubai,clinic/derm/aesthetic,multi-city,yes,yes,yes,yes
Laser Gulf,https://laser-gulf.com,unknown,UAE,Dubai,clinic/aesthetic,multi-city,yes,yes,yes,yes
Al Shirawi Healthcare Solutions,https://alshirawi.health,unknown,UAE,Dubai,clinic/derm/aesthetic,national,yes,unknown,yes,yes
Alma UAE (Direct Office),https://almalasers.com,almalasers@almalasers.ae,UAE,Dubai,clinic/derm/aesthetic,national,yes,yes,yes,yes
Elogio Asia Pte Ltd,https://www.elogioasia.com,unknown,Singapore,Singapore,clinic/derm/aesthetic,multi-city,yes,yes,yes,yes
Neoasia Group,https://neoasiagroup.com,unknown,Singapore,Singapore,clinic/derm/aesthetic,multi-city,yes,yes,yes,yes
Astraco Medical Networks (AMN),https://astracom.co.th,unknown,Thailand,Bangkok,hospital/clinic/derm,national,yes,yes,yes,yes
"Aesla Co., Ltd.",https://aesla.com,contact@aesla.com,Thailand,Bangkok,clinic/derm/aesthetic,multi-city,yes,yes,yes,yes
"Laser Engineer Co., Ltd.",unknown,unknown,Thailand,Bangkok,clinic/derm,national,yes,yes,yes,yes
"Wontech Asia Co., Ltd.",https://www.wontech-asia.com,unknown,Thailand,Bangkok,clinic/derm/aesthetic,national,yes,yes,yes,yes
Monarch Medi Solutions Sdn Bhd,https://monarchmedisolutions.site,unknown,Malaysia,Kuala Lumpur area,hospital/clinic/derm,multi-city,yes,yes,yes,yes
Venusys Medical Sdn Bhd,https://venusys.com.my,unknown,Malaysia,Shah Alam,hospital/clinic/derm/aesthetic,national,yes,yes,yes,yes
PT Stenia Medika,unknown,vania@steniamedika.com,Indonesia,Jakarta,clinic/derm/aesthetic,national,unknown,unknown,unknown,yes
idsMED Group (IDS Medical Systems),https://www.idsmed.com,unknown,Singapore,Singapore,hospital/clinic,multi-city,yes,yes,yes,yes
Filtech Enterprise (1994 PCL),unknown,unknown,Thailand,Nonthaburi,clinic/aesthetic,national,unknown,unknown,unknown,yes
BTL Singapore (Direct),https://btlaesthetics.sg,unknown,Singapore,Singapore,clinic/aesthetic,national,yes,yes,yes,yes
Alpha Health Asia,https://www.alpha-healthasia.com,unknown,Singapore,Singapore,hospital/clinic/aesthetic,multi-city,unknown,unknown,unknown,unknown
Lasermed (Thailand),unknown,unknown,Thailand,Bangkok,clinic/derm,national,unknown,unknown,unknown,yes
Al Mazroui Medical & Chemical Supplies,unknown,unknown,UAE,unknown,hospital/clinic,national,yes,unknown,yes,unknown
Microlab,unknown,unknown,Philippines,Manila (Pasay City),clinic/aesthetic,national,unknown,unknown,unknown,yes
Neoderm (Hong Kong),https://neoderm.com.hk,tanya.lee@neoderm.com.hk,Hong Kong,Hong Kong,clinic/aesthetic,national,yes,yes,yes,yes
