company_name,website,email,country,city,customer_type,coverage,installation,training,after_sales,energy_devices_experience,score,tier,next_action,reasons
"JMEC Co., Ltd.",https://www.jmec.co.jp,unknown,Japan,Tokyo,clinic/derm,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
"Century Medical, Inc.",unknown,unknown,Japan,Tokyo,hospital/clinic,national,yes,unknown,yes,unknown,60,B,Follow up with capability verification and references,installation=yes; after_sales=yes; customer_type=target; coverage=national
Sciton Japan (Direct Office),https://sciton.jp,unknown,Japan,Tokyo (Shinjuku),clinic/derm/aesthetic,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
Wontech Japan,https://wtlaser.com,unknown,Japan,Osaka,clinic/derm,multi-city,yes,yes,yes,yes,80,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=multi_city
Leader Healthcare Group,https://leaderhealthcaregroup.com,logistics@leaderhealthcaregroup.com,UAE,Dubai,hospital/clinic/derm/aesthetic,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
Laser SOS Group,https://www.lasersos.com,unknown,Saudi Arabia,unknown,hospital/clinic/aesthetic,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
DUBIMED,https://dubaimed.com,unknown,UAE,Dubai,clinic/derm/aesthetic,multi-city,yes,yes,yes,yes,80,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=multi_city
Laser Gulf,https://laser-gulf.com,unknown,UAE,Dubai,clinic/aesthetic,multi-city,yes,yes,yes,yes,80,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=multi_city
Al Shirawi Healthcare Solutions,https://alshirawi.health,unknown,UAE,Dubai,clinic/derm/aesthetic,national,yes,unknown,yes,yes,75,A,Prioritize immediate outreach and qualification call,installation=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
Alma UAE (Direct Office),https://almalasers.com,almalasers@almalasers.ae,UAE,Dubai,clinic/derm/aesthetic,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
Elogio Asia Pte Ltd,https://www.elogioasia.com,unknown,Singapore,Singapore,clinic/derm/aesthetic,multi-city,yes,yes,yes,yes,80,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=multi_city
Neoasia Group,https://neoasiagroup.com,unknown,Singapore,Singapore,clinic/derm/aesthetic,multi-city,yes,yes,yes,yes,80,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=multi_city
Astraco Medical Networks (AMN),https://astracom.co.th,unknown,Thailand,Bangkok,hospital/clinic/derm,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
"Aesla Co., Ltd.",https://aesla.com,contact@aesla.com,Thailand,Bangkok,clinic/derm/aesthetic,multi-city,yes,yes,yes,yes,80,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=multi_city
"Laser Engineer Co., Ltd.",unknown,unknown,Thailand,Bangkok,clinic/derm,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
"Wontech Asia Co., Ltd.",https://www.wontech-asia.com,unknown,Thailand,Bangkok,clinic/derm/aesthetic,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
Monarch Medi Solutions Sdn Bhd,https://monarchmedisolutions.site,unknown,Malaysia,Kuala Lumpur area,hospital/clinic/derm,multi-city,yes,yes,yes,yes,80,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=multi_city
Venusys Medical Sdn Bhd,https://venusys.com.my,unknown,Malaysia,Shah Alam,hospital/clinic/derm/aesthetic,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
PT Stenia Medika,unknown,vania@steniamedika.com,Indonesia,Jakarta,clinic/derm/aesthetic,national,unknown,unknown,unknown,yes,40,B,Follow up with capability verification and references,customer_type=target; energy_devices_experience=yes; coverage=national
idsMED Group (IDS Medical Systems),https://www.idsmed.com,unknown,Singapore,Singapore,hospital/clinic,multi-city,yes,yes,yes,yes,80,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=multi_city
Filtech Enterprise (1994 PCL),unknown,unknown,Thailand,Nonthaburi,clinic/aesthetic,national,unknown,unknown,unknown,yes,40,B,Follow up with capability verification and references,customer_type=target; energy_devices_experience=yes; coverage=national
BTL Singapore (Direct),https://btlaesthetics.sg,unknown,Singapore,Singapore,clinic/aesthetic,national,yes,yes,yes,yes,85,A,Prioritize immediate outreach and qualification call,installation=yes; training=yes; after_sales=yes; customer_type=target; energy_devices_experience=yes; coverage=national
Alpha Health Asia,https://www.alpha-healthasia.com,unknown,Singapore,Singapore,hospital/clinic/aesthetic,multi-city,unknown,unknown,unknown,unknown,20,C,Nurture or request missing capability details,customer_type=target; coverage=multi_city
